Technology,Count
python,137
aws,69
docker,50
postgresql,45
sql,43
rest,35
django,34
fastapi,34
git,26
kubernetes,25
javascript,23
redis,23
mongodb,23
azure,23
microservices,22
react,22
devops,22
flask,21
agile,18
gcp,17
rabbitmq,15
pytest,13
html,12
github,12
jenkins,12
css,11
tensorflow,11
nodejs,10
jira,9
pandas,9
gitlab,9
graphql,9
pytorch,9
elasticsearch,9
angular,8
typescript,8
serverless,8
java,7
oauth,7
numpy,6
k8s,6
go,6
nextjs,5
selenium,5
redux,5
jwt,5
terraform,5
php,4
spark,4
apache,4
vuejs,4
bitbucket,4
hadoop,3
cloudwatch,3
scrum,3
prometheus,3
vue,3
blockchain,3
grpc,3
stripe,3
jquery,2
sklearn,2
neo4j,2
ecr,2
datadog,2
firebase,2
grafana,2
ansible,2
ruby,1
cloudformation,1
rust,1
android,1
ios,1
heroku,1
sqlite,1
scipy,1
es6,1
webpack,1
express,1
mariadb,1
seaborn,1
solidity,1
dart,1
tailwind,1
